TIME    	TRYING	CONNECTED
1141099524 	6.12	6.12 # interval length 33 seconds
1141099582 	0	0 # interval length 58 seconds
1141099612 	10.76	10.76
1141099644 	5.9	5.9 # interval length 32 seconds
1141099707 	0	0 # interval length 63 seconds
1141099737 	10.9	10.9
1141099769 	5.75	5.75 # interval length 32 seconds
1141099828 	0	0 # interval length 59 seconds
1141099858 	11.1	11.1
1141099889 	5.74	5.74 # interval length 31 seconds
1141099948 	0	0 # interval length 59 seconds
1141099978 	10.56	10.56
1141100010 	6.06	6.06 # interval length 32 seconds
1141100070 	0	0 # interval length 60 seconds
1141100100 	11.03	11.03
1141100131 	5.8	5.8 # interval length 31 seconds
1141100190 	0	0 # interval length 59 seconds
1141100220 	9.86	9.83
1141100255 	6.17	6.17 # interval length 35 seconds
1141100311 	0	0 # interval length 56 seconds
1141100341 	10.5	10.5
1141100373 	6.12	6.12 # interval length 32 seconds
1141100432 	0	0 # interval length 59 seconds
1141100462 	10.7	10.7
1141100494 	5.96	5.96 # interval length 32 seconds
1141100554 	0	0 # interval length 60 seconds
1141100584 	11	11
1141100615 	5.87	5.87 # interval length 31 seconds
1141100675 	0	0 # interval length 60 seconds
1141100705 	9.73	9.73
1141100735 	7.26	7.26
1141100796 	0.01	0.01 # interval length 61 seconds
1141100826 	10.83	10.83
1141100858 	5.84	5.84 # interval length 32 seconds
1141100919 	0	0 # interval length 61 seconds
1141100949 	7.8	7.8
1141100990 	6.78	6.78 # interval length 41 seconds
1141101039 	0	0 # interval length 49 seconds
1141101069 	7.46	7.46
1141101110 	7	7 # interval length 41 seconds
1141101160 	0	0 # interval length 50 seconds
1141101190 	7.33	7.33
1141101232 	6.95	6.95 # interval length 42 seconds
1141101281 	0	0 # interval length 49 seconds
1141101311 	7.53	7.53
1141101352 	6.95	6.95 # interval length 41 seconds
1141101402 	0	0 # interval length 50 seconds
1141101432 	11	11
1141101463 	5.87	5.87 # interval length 31 seconds
1141101523 	0	0 # interval length 60 seconds
1141101553 	11.03	11.03
1141101585 	5.65	5.65 # interval length 32 seconds
1141101646 	0	0 # interval length 61 seconds
1141101676 	10.9	10.9
1141101707 	5.93	5.93 # interval length 31 seconds
1141101767 	0	0 # interval length 60 seconds
1141101797 	10.9	10.9
1141101828 	5.93	5.93 # interval length 31 seconds
1141101888 	0	0 # interval length 60 seconds
1141101918 	10.8	10.8
1141101950 	5.84	5.84 # interval length 32 seconds
1141102009 	0	0 # interval length 59 seconds
1141102039 	10.86	10.86
1141102071 	5.81	5.81 # interval length 32 seconds
1141102130 	0	0 # interval length 59 seconds
1141102160 	10.8	10.8
1141102192 	5.84	5.87 # interval length 32 seconds
1141102251 	0	0 # interval length 59 seconds
1141102281 	11.13	11.13
1141102312 	5.7	5.7 # interval length 31 seconds
1141102372 	0	0 # interval length 60 seconds
1141102402 	10.93	10.93
1141102433 	5.93	5.93 # interval length 31 seconds
1141102493 	0	0 # interval length 60 seconds
1141102523 	10.96	10.96
1141102555 	5.71	5.71 # interval length 32 seconds
1141102614 	0	0 # interval length 59 seconds
1141102644 	10.86	10.86
1141102676 	5.81	5.81 # interval length 32 seconds
1141102735 	0	0 # interval length 59 seconds
1141102765 	10.76	10.76
1141102797 	5.87	5.87 # interval length 32 seconds
1141102857 	0	0 # interval length 60 seconds
1141102887 	10.16	10.16
1141102924 	5.56	5.56 # interval length 37 seconds
1141102978 	0	0 # interval length 54 seconds
1141103008 	9.73	9.73
1141103044 	6.11	6.11 # interval length 36 seconds
1141103100 	0	0 # interval length 56 seconds
1141103130 	10.83	10.83
1141103162 	5.81	5.81 # interval length 32 seconds
1141103223 	0	0 # interval length 61 seconds
1141103253 	10.8	10.8
1141103284 	6.03	6.03 # interval length 31 seconds
1141103344 	0	0 # interval length 60 seconds
1141103374 	10.56	10.56
1141103407 	5.87	5.87 # interval length 33 seconds
1141103468 	0	0 # interval length 61 seconds
1141103498 	10.76	10.76
1141103530 	5.87	5.87 # interval length 32 seconds
1141103592 	0	0 # interval length 62 seconds
1141103622 	10.73	10.73
1141103654 	5.93	5.93 # interval length 32 seconds
1141103713 	0	0 # interval length 59 seconds
1141103743 	11.13	11.13
1141103774 	5.7	5.74 # interval length 31 seconds
1141103833 	0	0 # interval length 59 seconds
1141103863 	10.46	10.46
1141103896 	5.96	5.96 # interval length 33 seconds
1141103954 	0	0 # interval length 58 seconds
1141103984 	10.9	10.9
1141104016 	5.75	5.75 # interval length 32 seconds
1141104074 	0	0 # interval length 58 seconds
1141104104 	10.56	10.56
1141104137 	5.87	5.87 # interval length 33 seconds
1141104197 	0	0 # interval length 60 seconds
1141104227 	10.86	10.86
1141104259 	5.78	5.78 # interval length 32 seconds
1141104319 	0	0 # interval length 60 seconds
1141104349 	10.5	10.5
1141104382 	5.93	5.93 # interval length 33 seconds
1141104443 	0	0 # interval length 61 seconds
1141104473 	10.9	10.9
1141104505 	5.75	5.75 # interval length 32 seconds
1141104564 	0	0 # interval length 59 seconds
1141104594 	10.63	10.63
1141104626 	6.03	6.03 # interval length 32 seconds
1141104686 	0	0 # interval length 60 seconds
1141104716 	10.63	10.63
1141104748 	6.03	6.03 # interval length 32 seconds
1141104807 	0	0 # interval length 59 seconds
1141104837 	10.7	10.7
1141104869 	5.96	5.96 # interval length 32 seconds
1141104928 	0	0 # interval length 59 seconds
1141104958 	10.43	10.43
1141104991 	6	6 # interval length 33 seconds
1141105049 	0	0 # interval length 58 seconds
1141105079 	8.83	8.83
1141105117 	6.47	6.47 # interval length 38 seconds
1141105173 	0	0 # interval length 56 seconds
1141105203 	10.83	10.83
1141105235 	5.81	5.81 # interval length 32 seconds
1141105293 	0	0 # interval length 58 seconds
1141105323 	10.43	10.43
1141105356 	6.03	6.03 # interval length 33 seconds
1141105414 	0	0 # interval length 58 seconds
1141105444 	10.73	10.73
1141105476 	5.9	5.9 # interval length 32 seconds
1141105535 	0	0 # interval length 59 seconds
1141105565 	10.56	10.56
1141105598 	5.87	5.87 # interval length 33 seconds
1141105656 	0	0 # interval length 58 seconds
1141105686 	10.8	10.8
1141105718 	5.84	5.84 # interval length 32 seconds
1141105777 	0	0 # interval length 59 seconds
1141105807 	10.63	10.63
1141105840 	5.84	5.84 # interval length 33 seconds
1141105898 	0	0 # interval length 58 seconds
1141105928 	10.9	10.9
1141105960 	5.75	5.75 # interval length 32 seconds
